Record_ID,Month,Product_Name,Category,Original_Price_USD,Discount_Percent,Effective_Price_USD,Ad_Expenditure_USD,Customer_Visits,Units_Sold,Total_Sales_USD,Gross_Profit_USD,Net_Profit_USD
1000,2025-04,Air Purifier Pro,Home Appliances,229.92,15,195.43,15568.47,23979,1947,380502.21,178136.33,162567.86
1001,2025-08,Wireless Noise-Canceling Headphones,Electronics,258.31,5,245.39,5772.89,10809,454,111407.06,52480.36,46707.47
1002,2025-01,Stainless Steel Air Fryer,Kitchen,130.32,5,123.8,2596.64,8277,519,64252.2,31229.14,28632.5
1003,2025-09,Ergonomic Desk Chair,Furniture,305.49,10,274.94,5507.32,8992,830,228200.2,89615.44,84108.12
1004,2025-10,Wireless Noise-Canceling Headphones,Electronics,245.12,0,245.12,17579.48,33147,731,179182.72,82257.05,64677.57
1005,2025-02,Ergonomic Desk Chair,Furniture,325.2,5,308.94,13721.6,27689,946,292257.24,123991.38,110269.78
1006,2025-12,Gaming Laptop Pro,Computers,1513.73,20,1210.98,15550.65,39239,2379,2880921.42,1162680.54,1147129.89
1007,2025-08,4K OLED Smart TV,Electronics,1182.81,5,1123.67,14253.36,21564,1616,1815850.72,941461.52,927208.16
1008,2025-09,Air Purifier Pro,Home Appliances,225.99,0,225.99,1629.77,6198,410,92655.9,50274.68,48644.91
1009,2025-10,Air Purifier Pro,Home Appliances,211.55,20,169.24,16147.51,28788,959,162301.16,64697.66,48550.15
1010,2025-05,Espresso Coffee Machine,Kitchen,562.63,10,506.37,22349.5,42720,3365,1703935.05,745708.77,723359.27
1011,2025-11,Air Purifier Pro,Home Appliances,220.5,10,198.45,2097.35,4488,117,23218.65,9967.48,7870.13
1012,2026-01,Ergonomic Desk Chair,Furniture,320.27,25,240.2,7358.37,14361,530,127306.0,46003.27,38644.9
1013,2025-12,Portable Bluetooth Speaker,Audio,92.82,20,74.26,16384.99,40596,3877,287906.02,119253.64,102868.65
1014,2025-07,Gaming Laptop Pro,Computers,1507.43,5,1432.06,4086.22,8751,689,986689.34,518588.61,514502.39
1015,2025-11,Espresso Coffee Machine,Kitchen,545.46,5,518.19,4316.84,8928,752,389678.88,191837.89,187521.05
1016,2025-09,Espresso Coffee Machine,Kitchen,544.71,0,544.71,7467.01,13900,401,218428.71,98342.27,90875.26
1017,2025-02,UltraClean Robot Vacuum,Home Appliances,450.12,0,450.12,8048.19,21663,744,334889.28,179336.73,171288.54
1018,2025-06,Gaming Laptop Pro,Computers,1412.6,15,1200.71,19398.06,30869,2325,2791650.75,1105648.15,1086250.09
1019,2025-09,UltraClean Robot Vacuum,Home Appliances,441.94,0,441.94,2458.22,7530,456,201524.64,110504.27,108046.05
1020,2026-03,Smart Fitness Watch,Wearables,193.56,10,174.2,5597.61,14055,476,82919.2,38316.25,32718.64
1021,2025-02,Stainless Steel Air Fryer,Kitchen,135.52,20,108.42,7561.63,17481,1689,183121.38,67411.23,59849.6
1022,2025-02,UltraClean Robot Vacuum,Home Appliances,472.33,25,354.25,14619.9,36018,3350,1186737.5,340732.37,326112.47
1023,2025-08,Ergonomic Desk Chair,Furniture,316.94,20,253.55,21496.82,53520,5029,1275102.95,451222.43,429725.61
1024,2026-02,Smart Fitness Watch,Wearables,207.76,25,155.82,8172.14,13610,1626,253363.32,95402.26,87230.12
1025,2025-01,Ergonomic Desk Chair,Furniture,319.8,0,319.8,10112.02,23515,1487,475542.6,246898.83,236786.81
1026,2025-06,Smart Fitness Watch,Wearables,194.33,5,184.61,24365.75,43828,3263,602382.43,285165.82,260800.07
1027,2025-05,UltraClean Robot Vacuum,Home Appliances,437.86,10,394.07,14942.1,35273,957,377124.99,146885.73,131943.63
1028,2025-06,4K OLED Smart TV,Electronics,1184.42,0,1184.42,23315.49,42730,1841,2180517.22,1013692.65,990377.16
1029,2025-02,Smart Fitness Watch,Wearables,200.13,25,150.1,17856.7,37049,1435,215393.5,68497.37,50640.67
1030,2025-07,Portable Bluetooth Speaker,Audio,85.8,10,77.22,22118.27,50383,2513,194053.86,90696.64,68578.37
