"Row ID","Order ID","Order Date","Region","Customer ID","Segment","Category","Sub-Category","Product Name","Sales","Advertising Expenditure","Customer Visits","Product Price","Quantity","Discount","Profit"
"1","ORD-2025-0001","2025-01-02","West","CUST-1017","Corporate","Furniture","Chairs","Ergonomic Office Chair","810.46","101.33","54","359.36","2","0.15","66.86"
"2","ORD-2025-0002","2025-01-05","East","CUST-1034","Home Office","Furniture","Bookcases","Wooden Storage Bookcase","952.47","101.19","78","269.13","3","0.05","146.21"
"3","ORD-2025-0003","2025-01-08","Central","CUST-1051","Consumer","Office Supplies","Paper","Multipurpose Copy Paper","127.66","36.70","94","19.10","6","0.00","11.23"
"4","ORD-2025-0004","2025-01-11","South","CUST-1068","Corporate","Technology","Phones","Business Smartphone","491.38","66.23","64","556.17","1","0.15","68.48"
"5","ORD-2025-0005","2025-01-14","North","CUST-1085","Home Office","Technology","Machines","Desktop Printer","664.73","64.59","47","373.51","2","0.10","122.25"
"6","ORD-2025-0006","2025-01-17","Northeast","CUST-1102","Consumer","Furniture","Tables","Adjustable Work Table","340.14","53.30","77","417.67","1","0.10","35.67"
"7","ORD-2025-0007","2025-01-20","Northwest","CUST-1119","Corporate","Office Supplies","Binders","Premium Ring Binder","111.68","36.12","79","28.88","5","0.15","-2.34"
"8","ORD-2025-0008","2025-01-23","Southeast","CUST-1136","Home Office","Office Supplies","Storage","Stackable Storage Box","279.80","46.35","135","47.04","9","0.20","-0.84"
"9","ORD-2025-0009","2025-01-26","Southwest","CUST-1153","Consumer","Technology","Accessories","Wireless Keyboard","58.03","32.89","81","75.48","1","0.00","5.72"
"10","ORD-2025-0010","2025-02-04","West","CUST-1170","Home Office","Furniture","Tables","Adjustable Work Table","1165.41","120.38","70","441.25","2","0.00","217.87"
"11","ORD-2025-0011","2025-02-07","East","CUST-1187","Consumer","Office Supplies","Binders","Premium Ring Binder","89.28","36.58","86","25.87","3","0.05","1.46"
"12","ORD-2025-0012","2025-02-10","Central","CUST-1204","Corporate","Office Supplies","Storage","Stackable Storage Box","381.90","59.76","115","45.94","8","0.10","24.80"
"13","ORD-2025-0013","2025-02-13","South","CUST-1221","Home Office","Technology","Accessories","Wireless Keyboard","118.34","35.51","41","73.60","2","0.20","6.39"
"14","ORD-2025-0014","2025-02-16","North","CUST-1238","Consumer","Furniture","Chairs","Ergonomic Office Chair","1072.54","83.96","63","349.42","3","0.00","209.09"
"15","ORD-2025-0015","2025-02-19","Northeast","CUST-1255","Corporate","Furniture","Bookcases","Wooden Storage Bookcase","495.29","60.63","96","296.49","2","0.10","57.37"
"16","ORD-2025-0016","2025-02-22","Northwest","CUST-1272","Home Office","Office Supplies","Paper","Multipurpose Copy Paper","142.12","42.51","95","19.11","9","0.10","2.74"
"17","ORD-2025-0017","2025-02-25","Southeast","CUST-1289","Consumer","Technology","Phones","Business Smartphone","1508.19","147.37","84","529.05","4","0.10","277.10"
"18","ORD-2025-0018","2025-02-02","Southwest","CUST-1006","Corporate","Technology","Machines","Desktop Printer","580.32","69.35","56","360.58","2","0.00","140.30"
"19","ORD-2025-0019","2025-03-06","West","CUST-1023","Consumer","Furniture","Bookcases","Wooden Storage Bookcase","760.68","94.81","80","277.49","2","0.05","112.29"
"20","ORD-2025-0020","2025-03-09","East","CUST-1040","Corporate","Office Supplies","Paper","Multipurpose Copy Paper","121.47","38.67","67","19.42","6","0.10","1.59"
"21","ORD-2025-0021","2025-03-12","Central","CUST-1057","Home Office","Technology","Phones","Business Smartphone","2117.89","198.77","93","581.80","4","0.20","254.08"
"22","ORD-2025-0022","2025-03-15","South","CUST-1074","Consumer","Technology","Machines","Desktop Printer","615.41","75.34","73","373.07","2","0.20","68.20"
"23","ORD-2025-0023","2025-03-18","North","CUST-1091","Corporate","Furniture","Tables","Adjustable Work Table","1584.40","159.06","71","410.23","4","0.00","297.67"
"24","ORD-2025-0024","2025-03-21","Northeast","CUST-1108","Home Office","Office Supplies","Binders","Premium Ring Binder","77.18","36.90","96","28.73","3","0.00","2.08"
"25","ORD-2025-0025","2025-03-24","Northwest","CUST-1125","Consumer","Office Supplies","Storage","Stackable Storage Box","246.78","41.97","118","47.78","8","0.20","-1.09"
"26","ORD-2025-0026","2025-03-27","Southeast","CUST-1142","Corporate","Technology","Accessories","Wireless Keyboard","66.74","33.05","65","79.90","1","0.05","5.94"
"27","ORD-2025-0027","2025-03-04","Southwest","CUST-1159","Home Office","Furniture","Chairs","Ergonomic Office Chair","440.08","66.49","56","315.35","2","0.05","61.24"
"28","ORD-2025-0028","2025-04-08","West","CUST-1176","Corporate","Office Supplies","Binders","Premium Ring Binder","240.27","43.39","95","29.76","6","0.00","29.36"
"29","ORD-2025-0029","2025-04-11","East","CUST-1193","Home Office","Office Supplies","Storage","Stackable Storage Box","54.08","34.30","29","44.48","1","0.00","-1.24"
"30","ORD-2025-0030","2025-04-14","Central","CUST-1210","Consumer","Technology","Accessories","Wireless Keyboard","203.40","43.94","84","77.36","3","0.20","16.45"
"31","ORD-2025-0031","2025-04-17","South","CUST-1227","Corporate","Furniture","Chairs","Ergonomic Office Chair","341.80","46.52","71","328.04","1","0.10","38.09"
"32","ORD-2025-0032","2025-04-20","North","CUST-1244","Home Office","Furniture","Bookcases","Wooden Storage Bookcase","697.20","90.28","55","268.06","3","0.10","79.18"
"33","ORD-2025-0033","2025-04-23","Northeast","CUST-1261","Consumer","Office Supplies","Paper","Multipurpose Copy Paper","68.83","34.06","78","17.51","4","0.05","-0.75"
"34","ORD-2025-0034","2025-04-26","Northwest","CUST-1278","Corporate","Technology","Phones","Business Smartphone","431.26","66.19","72","546.08","1","0.15","57.52"
"35","ORD-2025-0035","2025-04-03","Southeast","CUST-1295","Home Office","Technology","Machines","Desktop Printer","798.22","84.97","72","370.65","3","0.15","118.48"
