Order ID,Order Date,Region,Category,Sub-Category,Quantity,Sales,Profit,Customer Segment
ORD-2023-10558,2023-01-01,West,Technology,Accessories,3,2539.89,886.42,Home Office
ORD-2024-10742,2023-01-01,West,Technology,Laptops,6,6355.68,2195.72,Consumer
ORD-2024-10145,2023-01-02,East,Furniture,Chairs,8,4148.0,498.97,Home Office
ORD-2025-10188,2023-01-02,East,Furniture,Furnishings,5,1682.95,223.95,Corporate
ORD-2024-11177,2023-01-03,North,Furniture,Chairs,8,1477.84,502.32,Corporate
ORD-2023-11137,2023-01-03,West,Technology,Accessories,5,1751.9,570.21,Consumer
ORD-2025-10722,2023-01-04,North,Furniture,Bookcases,2,1410.04,162.07,Consumer
ORD-2025-10989,2023-01-04,East,Furniture,Chairs,8,3136.56,625.57,Consumer
ORD-2024-10307,2023-01-05,West,Furniture,Tables,4,1099.8,240.39,Consumer
ORD-2024-10772,2023-01-05,West,Furniture,Bookcases,7,5491.15,1505.07,Consumer
ORD-2025-10719,2023-01-06,South,Furniture,Chairs,1,792.98,134.39,Consumer
ORD-2023-10954,2023-01-07,South,Technology,Printers,1,879.39,250.25,Corporate
ORD-2024-10655,2023-01-08,Central,Technology,Smartphones,1,1224.44,169.41,Consumer
ORD-2025-10194,2023-01-09,North,Office Supplies,Paper,1,128.78,36.23,Home Office
ORD-2025-10527,2023-01-10,North,Technology,Printers,6,2928.0,621.96,Consumer
ORD-2024-10751,2023-01-10,East,Technology,Laptops,2,1578.72,488.11,Corporate
ORD-2024-10829,2023-01-11,West,Furniture,Chairs,7,2529.31,309.42,Corporate
ORD-2025-11154,2023-01-11,East,Technology,Monitors,9,8992.71,985.51,Home Office
ORD-2023-11026,2023-01-11,South,Furniture,Bookcases,9,4127.94,705.37,Consumer
ORD-2025-10380,2023-01-12,South,Furniture,Furnishings,7,2508.38,529.72,Consumer
ORD-2023-11065,2023-01-12,South,Office Supplies,Storage,7,396.13,90.73,Corporate
ORD-2025-10755,2023-01-13,South,Furniture,Bookcases,7,485.66,75.49,Home Office
ORD-2025-10038,2023-01-14,North,Office Supplies,Paper,7,51.94,7.72,Consumer
ORD-2023-10819,2023-01-15,West,Furniture,Tables,1,614.26,64.14,Consumer
ORD-2025-10074,2023-01-15,East,Furniture,Chairs,4,2148.12,574.02,Consumer
ORD-2024-11111,2023-01-16,West,Office Supplies,Binders,5,310.4,45.93,Consumer
ORD-2024-10241,2023-01-17,South,Technology,Smartphones,1,269.82,47.41,Home Office
ORD-2025-10260,2023-01-18,West,Office Supplies,Art,9,1048.23,121.06,Home Office
ORD-2023-10915,2023-01-18,North,Technology,Laptops,2,1034.82,136.2,Corporate
ORD-2025-10281,2023-01-20,North,Office Supplies,Labels,5,414.55,61.35,Consumer
ORD-2025-10032,2023-01-21,West,Office Supplies,Paper,2,206.48,48.88,Home Office
ORD-2024-10016,2023-01-22,South,Technology,Smartphones,3,3987.75,954.94,Home Office
ORD-2023-10357,2023-01-23,South,Technology,Printers,4,943.08,107.44,Consumer
ORD-2025-10833,2023-01-23,Central,Technology,Monitors,6,3433.8,420.38,Corporate
ORD-2024-10688,2023-01-25,South,Furniture,Bookcases,2,888.92,268.63,Consumer
ORD-2023-10885,2023-01-25,East,Office Supplies,Labels,3,200.97,56.92,Consumer
ORD-2024-11051,2023-01-25,Central,Office Supplies,Fasteners,9,800.73,117.92,Consumer
ORD-2024-11006,2023-01-27,Central,Office Supplies,Art,4,350.28,65.08,Consumer
ORD-2024-10229,2023-01-27,West,Office Supplies,Storage,6,462.6,66.89,Consumer
ORD-2024-10664,2023-01-28,North,Technology,Monitors,7,1629.53,384.62,Consumer
ORD-2025-10680,2023-01-28,East,Office Supplies,Binders,5,99.3,23.22,Consumer
ORD-2023-11122,2023-01-29,West,Technology,Accessories,6,1390.08,469.64,Home Office
ORD-2025-10455,2023-01-29,West,Furniture,Chairs,9,2809.89,699.91,Consumer
ORD-2025-10992,2023-01-29,South,Furniture,Furnishings,2,669.88,151.05,Consumer
ORD-2024-11024,2023-01-29,North,Furniture,Tables,9,811.62,109.67,Corporate
ORD-2023-10909,2023-02-01,North,Furniture,Bookcases,4,417.16,72.0,Corporate
ORD-2025-10695,2023-02-03,East,Technology,Accessories,9,12879.36,2603.88,Consumer
ORD-2024-10565,2023-02-03,West,Technology,Monitors,2,1232.44,360.41,Consumer
ORD-2025-11001,2023-02-03,North,Technology,Accessories,9,11889.27,1400.73,Consumer
ORD-2025-10047,2023-02-04,South,Furniture,Bookcases,6,1899.48,507.74,Consumer
ORD-2025-10383,2023-02-04,Central,Office Supplies,Labels,7,42.91,9.57,Home Office
ORD-2023-10279,2023-02-05,North,Technology,Smartphones,5,3258.65,1019.1,Corporate
ORD-2024-11198,2023-02-06,Central,Furniture,Bookcases,6,2551.32,688.16,Corporate
ORD-2023-10408,2023-02-06,North,Furniture,Tables,4,1756.24,198.09,Consumer
ORD-2023-10225,2023-02-07,South,Office Supplies,Paper,7,280.98,74.69,Consumer
ORD-2023-11194,2023-02-07,North,Technology,Printers,3,408.12,75.61,Home Office
ORD-2025-11106,2023-02-08,South,Furniture,Furnishings,2,978.06,231.71,Corporate
ORD-2024-10466,2023-02-08,South,Office Supplies,Art,4,391.44,69.89,Consumer
ORD-2025-11190,2023-02-09,West,Furniture,Tables,7,3629.71,619.36,Consumer
ORD-2025-10086,2023-02-10,Central,Technology,Laptops,3,4022.4,554.46,Consumer
ORD-2025-10512,2023-02-10,East,Office Supplies,Fasteners,3,58.56,9.83,Corporate
ORD-2023-10999,2023-02-10,North,Technology,Accessories,5,2269.35,457.64,Corporate
ORD-2025-10998,2023-02-11,North,Furniture,Bookcases,6,806.76,269.05,Home Office
ORD-2023-11050,2023-02-11,West,Furniture,Bookcases,2,820.2,158.55,Consumer
ORD-2024-10616,2023-02-12,East,Technology,Smartphones,8,2916.64,497.14,Consumer
ORD-2023-11074,2023-02-16,Central,Furniture,Chairs,9,2337.3,308.18,Consumer
ORD-2025-10644,2023-02-16,South,Furniture,Furnishings,1,61.77,11.74,Consumer
ORD-2024-10493,2023-02-16,South,Technology,Monitors,1,1479.84,402.03,Consumer
ORD-2024-10820,2023-02-16,West,Furniture,Chairs,5,2235.9,447.67,Corporate
ORD-2023-10312,2023-02-16,West,Technology,Printers,9,8274.78,1357.92,Home Office
ORD-2023-10651,2023-02-17,East,Furniture,Chairs,6,1482.0,432.48,Consumer
ORD-2023-10291,2023-02-20,West,Furniture,Tables,1,115.03,26.98,Home Office
ORD-2025-10854,2023-02-20,West,Office Supplies,Labels,1,74.88,16.91,Home Office
ORD-2024-10559,2023-02-20,West,Office Supplies,Fasteners,3,291.33,32.16,Home Office
ORD-2024-10613,2023-02-22,East,Technology,Accessories,6,3003.18,842.97,Home Office
ORD-2023-11167,2023-02-23,North,Technology,Monitors,5,5755.55,1503.23,Corporate
ORD-2024-10199,2023-02-23,East,Technology,Accessories,4,5585.92,784.4,Home Office
ORD-2024-10931,2023-02-24,East,Furniture,Tables,4,946.16,98.28,Home Office
ORD-2023-11032,2023-02-24,North,Furniture,Furnishings,4,970.04,270.13,Consumer
ORD-2025-10926,2023-02-24,West,Office Supplies,Storage,2,127.3,27.23,Home Office
ORD-2023-10660,2023-02-25,North,Office Supplies,Fasteners,2,112.94,25.5,Corporate
ORD-2024-10484,2023-02-27,Central,Office Supplies,Fasteners,6,423.54,120.04,Consumer
ORD-2025-10980,2023-02-28,West,Office Supplies,Storage,1,39.69,6.75,Consumer
ORD-2024-10628,2023-03-02,North,Furniture,Furnishings,6,4499.34,1166.91,Consumer
ORD-2024-11150,2023-03-02,North,Office Supplies,Binders,4,300.44,81.53,Consumer
ORD-2024-11048,2023-03-02,West,Furniture,Tables,6,3476.94,551.27,Consumer
ORD-2025-10413,2023-03-03,South,Office Supplies,Labels,6,292.56,95.06,Consumer
ORD-2025-11175,2023-03-03,Central,Technology,Laptops,2,591.22,73.33,Consumer
ORD-2024-10889,2023-03-04,West,Furniture,Chairs,7,3162.25,991.73,Home Office
ORD-2025-10539,2023-03-04,North,Office Supplies,Storage,2,69.24,17.77,Consumer
ORD-2023-10075,2023-03-06,Central,Technology,Laptops,9,4598.55,765.66,Home Office
ORD-2025-10689,2023-03-08,North,Technology,Printers,1,1344.1,297.0,Consumer
ORD-2025-10611,2023-03-10,South,Office Supplies,Labels,4,444.0,52.91,Consumer
ORD-2025-11037,2023-03-10,West,Office Supplies,Labels,6,232.32,58.53,Corporate
ORD-2023-10828,2023-03-10,West,Furniture,Bookcases,6,1282.2,170.04,Home Office
ORD-2023-11044,2023-03-14,Central,Office Supplies,Labels,9,853.56,229.51,Consumer
ORD-2025-10995,2023-03-16,West,Technology,Accessories,3,2575.38,341.93,Consumer
ORD-2024-10721,2023-03-16,East,Technology,Monitors,1,868.29,259.68,Consumer
ORD-2024-10586,2023-03-16,North,Office Supplies,Binders,8,914.0,121.67,Consumer
ORD-2024-10874,2023-03-16,North,Technology,Accessories,5,2521.9,621.4,Consumer
ORD-2025-10422,2023-03-17,North,Furniture,Bookcases,5,734.05,209.63,Consumer
ORD-2023-10774,2023-03-19,West,Technology,Accessories,1,544.2,120.23,Consumer
ORD-2025-10665,2023-03-19,North,Office Supplies,Labels,9,1032.75,259.92,Home Office
ORD-2023-10489,2023-03-21,Central,Office Supplies,Labels,7,139.3,19.93,Consumer
