Order ID,Order Date,Region,Category,Sub-Category,Quantity,Sales,Profit,Customer Segment,Latitude,Longitude
ORD-2023-10558,2023-01-01,West,Technology,Accessories,3,2539.89,886.42,Home Office,37.3985,-121.0673
ORD-2024-10742,2023-01-01,West,Technology,Laptops,6,6355.68,2195.72,Consumer,38.4709,-122.1234
ORD-2024-10145,2023-01-02,East,Furniture,Chairs,8,4148.0,498.97,Home Office,39.6809,-75.038
ORD-2025-10188,2023-01-02,East,Furniture,Furnishings,5,1682.95,223.95,Corporate,39.3871,-72.9075
ORD-2024-11177,2023-01-03,North,Furniture,Chairs,8,1477.84,502.32,Corporate,42.1814,-87.0056
ORD-2023-11137,2023-01-03,West,Technology,Accessories,5,1751.9,570.21,Consumer,36.3367,-121.0097
ORD-2025-10722,2023-01-04,North,Furniture,Bookcases,2,1410.04,162.07,Consumer,42.8754,-88.4928
ORD-2025-10989,2023-01-04,East,Furniture,Chairs,8,3136.56,625.57,Consumer,39.7583,-74.9558
ORD-2024-10307,2023-01-05,West,Furniture,Tables,4,1099.8,240.39,Consumer,37.1876,-122.3451
ORD-2024-10772,2023-01-05,West,Furniture,Bookcases,7,5491.15,1505.07,Consumer,37.5707,-123.0457
ORD-2025-10719,2023-01-06,South,Furniture,Chairs,1,792.98,134.39,Consumer,34.0846,-85.4695
ORD-2023-10954,2023-01-07,South,Technology,Printers,1,879.39,250.25,Corporate,33.1254,-84.7889
ORD-2024-10655,2023-01-08,Central,Technology,Smartphones,1,1224.44,169.41,Consumer,32.6449,-95.9415
ORD-2025-10194,2023-01-09,North,Office Supplies,Paper,1,128.78,36.23,Home Office,40.9771,-87.5871
ORD-2025-10527,2023-01-10,North,Technology,Printers,6,2928.0,621.96,Consumer,42.1553,-88.9904
ORD-2024-10751,2023-01-10,East,Technology,Laptops,2,1578.72,488.11,Corporate,41.0354,-74.9944
ORD-2024-10829,2023-01-11,West,Furniture,Chairs,7,2529.31,309.42,Corporate,36.4701,-121.0727
ORD-2025-11154,2023-01-11,East,Technology,Monitors,9,8992.71,985.51,Home Office,42.1097,-73.0808
ORD-2023-11026,2023-01-11,South,Furniture,Bookcases,9,4127.94,705.37,Consumer,33.1628,-85.595
ORD-2025-10380,2023-01-12,South,Furniture,Furnishings,7,2508.38,529.72,Consumer,34.3017,-84.5675
ORD-2023-11065,2023-01-12,South,Office Supplies,Storage,7,396.13,90.73,Corporate,32.6151,-84.4025
ORD-2025-10755,2023-01-13,South,Furniture,Bookcases,7,485.66,75.49,Home Office,32.3522,-83.16
ORD-2025-10038,2023-01-14,North,Office Supplies,Paper,7,51.94,7.72,Consumer,41.1544,-87.1422
ORD-2023-10819,2023-01-15,West,Furniture,Tables,1,614.26,64.14,Consumer,37.21,-122.3592
ORD-2025-10074,2023-01-15,East,Furniture,Chairs,4,2148.12,574.02,Consumer,40.8529,-74.9514
ORD-2024-11111,2023-01-16,West,Office Supplies,Binders,5,310.4,45.93,Consumer,39.1837,-121.594
ORD-2024-10241,2023-01-17,South,Technology,Smartphones,1,269.82,47.41,Home Office,35.0675,-83.2035
ORD-2025-10260,2023-01-18,West,Office Supplies,Art,9,1048.23,121.06,Home Office,38.0686,-121.1538
ORD-2023-10915,2023-01-18,North,Technology,Laptops,2,1034.82,136.2,Corporate,40.6436,-88.5419
ORD-2025-10281,2023-01-20,North,Office Supplies,Labels,5,414.55,61.35,Consumer,40.5138,-88.1538
ORD-2025-10032,2023-01-21,West,Office Supplies,Paper,2,206.48,48.88,Home Office,37.4409,-123.1054
ORD-2024-10016,2023-01-22,South,Technology,Smartphones,3,3987.75,954.94,Home Office,34.7352,-84.8177
ORD-2023-10357,2023-01-23,South,Technology,Printers,4,943.08,107.44,Consumer,33.0918,-84.2599
ORD-2025-10833,2023-01-23,Central,Technology,Monitors,6,3433.8,420.38,Corporate,31.6995,-95.8904
ORD-2024-10688,2023-01-25,South,Furniture,Bookcases,2,888.92,268.63,Consumer,32.4727,-82.9273
ORD-2023-10885,2023-01-25,East,Office Supplies,Labels,3,200.97,56.92,Consumer,41.5295,-74.9099
ORD-2024-11051,2023-01-25,Central,Office Supplies,Fasteners,9,800.73,117.92,Consumer,31.2933,-95.8506
ORD-2024-11006,2023-01-27,Central,Office Supplies,Art,4,350.28,65.08,Consumer,33.3973,-96.11
ORD-2024-10229,2023-01-27,West,Office Supplies,Storage,6,462.6,66.89,Consumer,38.5887,-123.6973
ORD-2024-10664,2023-01-28,North,Technology,Monitors,7,1629.53,384.62,Consumer,41.4535,-88.7822
ORD-2025-10680,2023-01-28,East,Office Supplies,Binders,5,99.3,23.22,Consumer,41.8021,-73.6361
ORD-2023-11122,2023-01-29,West,Technology,Accessories,6,1390.08,469.64,Home Office,37.2676,-123.7287
ORD-2025-10455,2023-01-29,West,Furniture,Chairs,9,2809.89,699.91,Consumer,37.2078,-122.9439
ORD-2025-10992,2023-01-29,South,Furniture,Furnishings,2,669.88,151.05,Consumer,34.4378,-83.9753
ORD-2024-11024,2023-01-29,North,Furniture,Tables,9,811.62,109.67,Corporate,43.0397,-87.7132
ORD-2023-10909,2023-02-01,North,Furniture,Bookcases,4,417.16,72.0,Corporate,40.7369,-86.9901
ORD-2025-10695,2023-02-03,East,Technology,Accessories,9,12879.36,2603.88,Consumer,41.4952,-73.8222
ORD-2024-10565,2023-02-03,West,Technology,Monitors,2,1232.44,360.41,Consumer,38.5878,-122.438
ORD-2025-11001,2023-02-03,North,Technology,Accessories,9,11889.27,1400.73,Consumer,41.9463,-87.8472
ORD-2025-10047,2023-02-04,South,Furniture,Bookcases,6,1899.48,507.74,Consumer,32.3253,-85.5643
ORD-2025-10383,2023-02-04,Central,Office Supplies,Labels,7,42.91,9.57,Home Office,31.371,-96.3878
ORD-2023-10279,2023-02-05,North,Technology,Smartphones,5,3258.65,1019.1,Corporate,41.3212,-87.6041
ORD-2024-11198,2023-02-06,Central,Furniture,Bookcases,6,2551.32,688.16,Corporate,33.9994,-97.5491
ORD-2023-10408,2023-02-06,North,Furniture,Tables,4,1756.24,198.09,Consumer,41.6092,-86.8631
ORD-2023-10225,2023-02-07,South,Office Supplies,Paper,7,280.98,74.69,Consumer,32.9354,-85.6571
ORD-2023-11194,2023-02-07,North,Technology,Printers,3,408.12,75.61,Home Office,41.2474,-88.6461
ORD-2025-11106,2023-02-08,South,Furniture,Furnishings,2,978.06,231.71,Corporate,35.0381,-83.4636
ORD-2024-10466,2023-02-08,South,Office Supplies,Art,4,391.44,69.89,Consumer,34.1492,-83.2736
ORD-2025-11190,2023-02-09,West,Furniture,Tables,7,3629.71,619.36,Consumer,38.6859,-123.3597
ORD-2025-10086,2023-02-10,Central,Technology,Laptops,3,4022.4,554.46,Consumer,33.9544,-96.679
ORD-2025-10512,2023-02-10,East,Office Supplies,Fasteners,3,58.56,9.83,Corporate,41.6351,-72.8177
ORD-2023-10999,2023-02-10,North,Technology,Accessories,5,2269.35,457.64,Corporate,41.3321,-88.7996
ORD-2025-10998,2023-02-11,North,Furniture,Bookcases,6,806.76,269.05,Home Office,41.0619,-87.8485
ORD-2023-11050,2023-02-11,West,Furniture,Bookcases,2,820.2,158.55,Consumer,38.7289,-121.3372
ORD-2024-10616,2023-02-12,East,Technology,Smartphones,8,2916.64,497.14,Consumer,39.2337,-73.9738
ORD-2023-11074,2023-02-16,Central,Furniture,Chairs,9,2337.3,308.18,Consumer,32.5289,-97.6307
ORD-2025-10644,2023-02-16,South,Furniture,Furnishings,1,61.77,11.74,Consumer,32.6086,-84.8752
ORD-2024-10493,2023-02-16,South,Technology,Monitors,1,1479.84,402.03,Consumer,35.0777,-84.9184
ORD-2024-10820,2023-02-16,West,Furniture,Chairs,5,2235.9,447.67,Corporate,37.8313,-121.8103
ORD-2023-10312,2023-02-16,West,Technology,Printers,9,8274.78,1357.92,Home Office,37.3658,-121.0041
ORD-2023-10651,2023-02-17,East,Furniture,Chairs,6,1482.0,432.48,Consumer,42.1001,-74.7507
ORD-2023-10291,2023-02-20,West,Furniture,Tables,1,115.03,26.98,Home Office,37.7666,-123.0168
ORD-2025-10854,2023-02-20,West,Office Supplies,Labels,1,74.88,16.91,Home Office,37.1294,-123.8087
ORD-2024-10559,2023-02-20,West,Office Supplies,Fasteners,3,291.33,32.16,Home Office,38.1036,-122.4114
ORD-2024-10613,2023-02-22,East,Technology,Accessories,6,3003.18,842.97,Home Office,39.3672,-74.6701
ORD-2023-11167,2023-02-23,North,Technology,Monitors,5,5755.55,1503.23,Corporate,43.1029,-88.4111
ORD-2024-10199,2023-02-23,East,Technology,Accessories,4,5585.92,784.4,Home Office,39.6475,-74.0376
ORD-2024-10931,2023-02-24,East,Furniture,Tables,4,946.16,98.28,Home Office,42.1698,-74.7798
ORD-2023-11032,2023-02-24,North,Furniture,Furnishings,4,970.04,270.13,Consumer,42.3945,-86.8449
ORD-2025-10926,2023-02-24,West,Office Supplies,Storage,2,127.3,27.23,Home Office,36.9878,-121.7348
ORD-2023-10660,2023-02-25,North,Office Supplies,Fasteners,2,112.94,25.5,Corporate,41.4814,-87.2329
ORD-2024-10484,2023-02-27,Central,Office Supplies,Fasteners,6,423.54,120.04,Consumer,33.1773,-96.6897
ORD-2025-10980,2023-02-28,West,Office Supplies,Storage,1,39.69,6.75,Consumer,36.5458,-121.4135
ORD-2024-10628,2023-03-02,North,Furniture,Furnishings,6,4499.34,1166.91,Consumer,41.3404,-88.5702
ORD-2024-11150,2023-03-02,North,Office Supplies,Binders,4,300.44,81.53,Consumer,40.5004,-87.3571
ORD-2024-11048,2023-03-02,West,Furniture,Tables,6,3476.94,551.27,Consumer,38.3076,-123.8696
ORD-2025-10413,2023-03-03,South,Office Supplies,Labels,6,292.56,95.06,Consumer,33.7853,-85.2085
ORD-2025-11175,2023-03-03,Central,Technology,Laptops,2,591.22,73.33,Consumer,33.2122,-97.7739
ORD-2024-10889,2023-03-04,West,Furniture,Chairs,7,3162.25,991.73,Home Office,38.3477,-122.7592
ORD-2025-10539,2023-03-04,North,Office Supplies,Storage,2,69.24,17.77,Consumer,43.1883,-88.7172
ORD-2023-10075,2023-03-06,Central,Technology,Laptops,9,4598.55,765.66,Home Office,32.2999,-97.9566
ORD-2025-10689,2023-03-08,North,Technology,Printers,1,1344.1,297.0,Consumer,43.1522,-86.4978
ORD-2025-10611,2023-03-10,South,Office Supplies,Labels,4,444.0,52.91,Consumer,33.0228,-83.908
ORD-2025-11037,2023-03-10,West,Office Supplies,Labels,6,232.32,58.53,Corporate,38.7266,-122.2538
ORD-2023-10828,2023-03-10,West,Furniture,Bookcases,6,1282.2,170.04,Home Office,37.8639,-123.1938
ORD-2023-11044,2023-03-14,Central,Office Supplies,Labels,9,853.56,229.51,Consumer,31.556,-95.6054
ORD-2025-10995,2023-03-16,West,Technology,Accessories,3,2575.38,341.93,Consumer,38.9762,-122.0201
ORD-2024-10721,2023-03-16,East,Technology,Monitors,1,868.29,259.68,Consumer,40.2299,-74.4584
ORD-2024-10586,2023-03-16,North,Office Supplies,Binders,8,914.0,121.67,Consumer,42.556,-86.4385
ORD-2024-10874,2023-03-16,North,Technology,Accessories,5,2521.9,621.4,Consumer,43.0394,-86.7902
ORD-2025-10422,2023-03-17,North,Furniture,Bookcases,5,734.05,209.63,Consumer,42.3042,-88.8774
ORD-2023-10774,2023-03-19,West,Technology,Accessories,1,544.2,120.23,Consumer,36.7598,-121.2237
ORD-2025-10665,2023-03-19,North,Office Supplies,Labels,9,1032.75,259.92,Home Office,42.1974,-89.1022
ORD-2023-10489,2023-03-21,Central,Office Supplies,Labels,7,139.3,19.93,Consumer,31.5811,-96.3065
ORD-2023-10603,2023-03-22,South,Technology,Laptops,1,1408.36,396.47,Corporate,32.2642,-85.4056
ORD-2024-10961,2023-03-23,West,Furniture,Chairs,6,1539.42,526.38,Home Office,37.9211,-121.8437
ORD-2024-10556,2023-03-24,South,Office Supplies,Art,2,39.14,8.9,Consumer,34.2049,-85.2152
